rematch_surface,total_rematches,loser_won_rematch,reversal_rate_pct,avg_weight_pull_lb,run_at
All-Weather,6638,2416,36.39650497137692,5.0763784272371195,2026-08-14 00:13:30
Turf,10157,4101,40.37609530373142,5.233238160874274,2026-08-14 00:13:30
